Country Name	type	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
Congo, Dem. Rep.	exports	480000000	300000000	341000000	459000000	318000000	306000000	424000000	446000000	570000000	680000000	781000000	687000000	738000000	1013000000	1381000000	865000000	944000000	989000000	931000000	1514000000	2269000000	1678000000	1601000000	1686000000	1928000000	1853000000	1844000000	1813000000	2460000000	2417000000	2326000000	1649000000	1246000000	1144000000	1256000000	1563000000	1547000000	1449000000	1422000000	809000000	807000000	880000000	1132000000	1378000000	1917000000	2403000000	2705000000	3100000000	4400000000	3500000000	5300000000	6600000000	6300000000	6200000000	7915000000	5800000000	5400000000	7900000000	8800000000
Congo, Rep.	exports	18000000	20000000	35000000	42000000	47000000	47000000	43000000	48000000	49000000	44000000	31000000	40000000	60000000	89000000	229000000	178000000	221000000	267000000	308000000	496000000	911000000	811000000	993000000	640000000	1183000000	1087000000	777000000	973000000	937000000	1247000000	981000000	1029000000	1183000000	1068000000	959000000	1172000000	1345000000	1668000000	1365000000	1560000000	2489000000	2055000000	2280000000	2677000000	3433000000	4745000000	6078000000	5635000000	8325000000	6100000000	9400000000	11851000000	10275000000	9028000000	8865000000	4678000000	4356000000	6078000000	10034000000
Colombia	exports	465000000	433000000	463000000	446000000	548000000	538000000	507000000	510000000	559000000	607000000	727000000	686000000	808000000	1169000000	1509000000	1465000000	1874000000	2403000000	3010000000	3411000000	3924000000	2916000000	3024000000	3001000000	3462000000	3552000000	5102000000	4642000000	5037000000	5717000000	6721000000	7114000000	6900000000	7116000000	8479000000	10126000000	10587000000	11522000000	10890000000	11575000000	13043000000	12290000000	11911000000	13080000000	16224000000	21190000000	24391000000	29991000000	37626000000	32853000000	39713000000	56915000000	60125000000	58824000000	54857000000	36018000000	31768000000	37881000000	41831000000
Comoros	exports	3000000	3000000	3000000	5000000	4000000	4000000	4000000	4000000	4000000	5000000	5000000	6000000	6000000	5000000	9000000	10000000	12000000	9000000	9000000	17000000	9000000	16000000	20000000	19000000	7000000	16000000	20000000	12000000	21000000	18000000	18000000	24000000	22000000	22000000	11000000	11000000	6000000	6000000	6000000	9000000	14000000	17000000	19000000	27000000	19000000	12000000	10000000	14000000	7000000	15000000	21000000	26000000	20000000	21000000	26000000	17000000	31000000	40000000	52000000
Cabo Verde	exports	11000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	1000000	2000000	2000000	2000000	2000000	2000000	2000000	2000000	2000000	2000000	2000000	2000000	5000000	3000000	4000000	3000000	3000000	6000000	4000000	8000000	3000000	7000000	6000000	6000000	5000000	4000000	5000000	8000000	13000000	14000000	10000000	11000000	11000000	10000000	11000000	13000000	15000000	18000000	21000000	19000000	32000000	35000000	44000000	69000000	56000000	69000000	80000000	67000000	60000000	50000000	76000000
Costa Rica	exports	84000000	84000000	93000000	95000000	114000000	112000000	136000000	144000000	171000000	190000000	231000000	225000000	281000000	345000000	440000000	493000000	593000000	828000000	865000000	934000000	1002000000	1008000000	870000000	873000000	1006000000	976000000	1121000000	1158000000	1246000000	1415000000	1448000000	1598000000	1841000000	2626000000	2878000000	3476000000	3758000000	4335000000	5526000000	6662000000	5850000000	5021000000	5264000000	6102000000	6301000000	7026000000	8200000000	9337000000	9504000000	8784000000	9448000000	10408000000	11433000000	11480000000	11250000000	9422000000	8256000000	9556000000	11201000000
Caribbean small states	exports	623907264.5	713893889.2	734890768.3	819878136.1	861871894.2	872870259.5	962960079.8	1003000000	1064000000	1133000000	1293000000	1541000000	1727000000	2084000000	4837000000	5943000000	6599000000	7019000000	6914000000	8324000000	11446000000	12234000000	9565000000	8175000000	7504000000	6616000000	5863000000	5952000000	5704000000	6441000000	4771000000	4593000000	4310000000	4280000000	4599000000	5681000000	5852000000	5987000000	5396000000	6105000000	7784000000	7476000000	7154000000	8755000000	10734000000	14542000000	19801000000	19739000000	25943000000	14444000000	17222000000	22435000000	21385000000	26546000000	21597000000	16822000000	13511000000	15635000000	17027000000
Cuba	exports	618000000	625000000	521000000	544000000	714000000	686000000	593000000	705000000	651000000	671000000	1046000000	860000000	835000000	1410000000	2660000000	3677000000	3573000000	4000000000	4487000000	4827000000	5577000000	5406000000	5920000000	6432000000	6213000000	5983000000	6298000000	5401000000	5518000000	5353000000	5100000000	2800000000	1600000000	1000000000	1385000000	1600000000	2015000000	1812000000	1512000000	1496000000	1676000000	1661000000	1421000000	1688000000	2332000000	2319000000	3159000000	3981000000	3957000000	3092000000	4914000000	6440000000	5900000000	5283000000	4857000000	3350000000	2317000000	2970000000	2740000000
Curacao	exports																																																				928000000	948000000	705000000	702000000	466000000	419000000	477000000	630000000
Cayman Islands	exports																																														51000000	17000000	22000000	33000000	28000000	24000000	37000000	39000000	51000000	48000000	65000000	51000000	33000000	34000000
Cyprus	exports	54000000	50000000	58000000	61000000	58000000	71000000	82000000	82000000	89000000	98000000	108000000	115000000	134000000	173000000	152000000	152000000	258000000	318000000	344000000	456000000	532000000	562000000	544000000	503000000	573000000	476000000	451000000	568000000	705000000	791000000	951000000	952000000	987000000	867000000	968000000	1229000000	1391000000	1250000000	1061000000	997000000	951000000	976000000	843000000	923000000	948000000	1465000000	1333000000	1394000000	1633000000	1257000000	1402000000	1818000000	1740000000	2019000000	3164000000	3295000000	2964000000	3287000000	4974000000
Czech Republic	exports																																		14465000000	15940000000	21335000000	22165000000	22360000000	25855000000	26556000000	29094000000	33324000000	38492000000	48702000000	68986000000	78110000000	94929000000	1.22498E+11	1.46799E+11	1.12955E+11	1.32982E+11	1.62939E+11	1.57041E+11	1.62274E+11	1.75022E+11	1.57877E+11	1.62692E+11	1.82143E+11	2.02197E+11
Germany	exports	11416000000	12651000000	13244000000	14578000000	16230000000	17913000000	20157000000	21761000000	24888000000	28852000000	34228000000	38845000000	46737000000	67563000000	89368000000	90176000000	1.02162E+11	1.18072E+11	1.42453E+11	1.71804E+11	1.9286E+11	1.76047E+11	1.76424E+11	1.69417E+11	1.71735E+11	1.83933E+11	2.43326E+11	2.94369E+11	3.23323E+11	3.41231E+11	4.211E+11	4.02843E+11	4.30042E+11	3.80096E+11	4.26935E+11	5.23461E+11	5.24649E+11	5.12891E+11	5.43752E+11	5.43539E+11	5.5181E+11	5.71645E+11	6.15831E+11	7.5156E+11	9.09887E+11	9.70914E+11	1.10811E+12	1.32121E+12	1.44617E+12	1.12004E+12	1.25892E+12	1.47399E+12	1.40111E+12	1.44507E+12	1.49421E+12	1.32621E+12	1.33436E+12	1.44819E+12	1.56082E+12
Djibouti	exports	21000000	22000000	25000000	22000000	24000000	28000000	27000000	23000000	12000000	12000000	10000000	5000000	8000000	19000000	21000000	15000000	16000000	19000000	18000000	11000000	13000000	9000000	13000000	11000000	13000000	14000000	20000000	28000000	23000000	25000000	25000000	17000000	16000000	12000000	12000000	14000000	29000000	31000000	28000000	28000000	32000000	32000000	36000000	37000000	38000000	40000000	55000000	58000000	69000000	77000000	85000000	93000000	118000000	120000000	129000000	134000000	139000000	142000000	168000000
Dominica	exports	4000000	4000000	4000000	5000000	5000000	6000000	6000000	6000000	6000000	7000000	6000000	6000000	7000000	9000000	10000000	11000000	11000000	12000000	16000000	9000000	10000000	19000000	24000000	27000000	26000000	28000000	43000000	48000000	54000000	45000000	55000000	54000000	53000000	48000000	47000000	45000000	51000000	52000000	62000000	56000000	54000000	44000000	43000000	40000000	42000000	42000000	41000000	37000000	40000000	33000000	37000000	29000000	34000000	35000000	36000000	30000000	23000000	21000000	19000000
